School_Year,Route_Number,Service_Type,Vehicle_TypeDescription,Route_Start_Date,Vendor_Code,Vendor_Name,Vendor_Affiliation,Garage _Street_Address,Garage_City,Garage_State,Garage_Zip,XCoordinates,YCoordinates
2018-2019,J501,D2D,Non-Wheelchair Accessible Alternative (NWC),43558,HT,"THOMAS BUSES, INC. (B2321)","THOMAS BUSES, INC. (B2321)",2859 WEST 37 STREET,BROOKLYN,NY,11224,983439,148884
2018-2019,J503,D2D,Type A or B Flex Vehicle,43199,TZ,THOMAS BUSES INC (B2192),THOMAS BUSES INC (B2192),2859 WEST 37 STREET,Brooklyn,NY,11224,983439,148884
2018-2019,K001,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K003,D2D,Standard Bus (SE),43199,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K004,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K005,D2D,Standard Bus (SE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K006,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K007,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K008,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K009,D2D,Standard Bus (SE),01/14/2019,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K010,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K011,D2D,Standard Bus (SE),10/17/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K012,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K013,D2D,Standard Bus (SE),03/20/2019,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K014,D2D,Standard Bus (SE),43199,EM,EMPIRE STATE BUS CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K015,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K016,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K017,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K019,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K020,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K021,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K022,D2D,Standard Bus (SE),09/20/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K023,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K024,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K025,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K026,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K027,D2D,Standard Bus (SE),43229,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K029,D2D,Standard Bus (SE),11/26/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K030,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K031,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K033,D2D,Standard Bus (SE),43231,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K034,D2D,Standard Bus (SE),43199,EQ,EMPIRE CHARTER SERVICE INC,EMPIRE CHARTER SERVICE INC,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K036,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K037,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K038,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K039,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K040,D2D,Standard Bus (SE),09/28/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K041,D2D,Standard Bus (SE),03/19/2019,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,2037 EASTERN P'KWY,BROOKLYN,NY,11207,1010602,187257
2018-2019,K042,D2D,Standard Bus (SE),03/26/2019,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K043,D2D,Standard Bus (SE),43443,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K044,D2D,Standard Bus (SE),02/27/2019,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K045,D2D,Standard Bus (SE),09/17/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K046,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K047,D2D,Standard Bus (SE),43199,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K048,D2D,Standard Bus (SE),43229,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K049,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K050,D2D,Standard Bus (SE),02/27/2019,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K051,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K052,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K053,D2D,Standard Bus (SE),43110,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K054,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K055,D2D,Standard Bus (SE),03/21/2019,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K056,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K057,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K058,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K059,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K060,D2D,Standard Bus (SE),43229,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K061,D2D,Standard Bus (SE),09/17/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K062,D2D,Standard Bus (SE),43200,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K063,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K064,D2D,Standard Bus (SE),11/19/2018,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K065,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K067,D2D,Standard Bus (SE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K069,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K070,D2D,Standard Bus (SE),43772,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K071,D2D,Standard Bus (SE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K072,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K073,D2D,Standard Bus (SE),10/18/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K074,D2D,Standard Bus (SE),43229,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K075,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",374 Glenmore Avenue,Brooklyn,NY,11207,1012885,184508
2018-2019,K076,D2D,Standard Bus (SE),43385,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K077,D2D,Standard Bus (SE),43229,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K078,D2D,Standard Bus (SE),43199,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K079,D2D,Standard Bus (SE),43229,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K080,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K081,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K082,D2D,Standard Bus (SE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K083,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K084,D2D,Standard Bus (SE),12/17/2018,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K085,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K086,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K087,D2D,Standard Bus (SE),09/28/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K088,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K089,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K091,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K092,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K093,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K094,D2D,Standard Bus (SE),43199,EM,EMPIRE STATE BUS CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K095,D2D,Standard Bus (SE),10/16/2018,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K096,D2D,Standard Bus (SE),43199,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K097,D2D,Standard Bus (SE),43199,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K098,D2D,Standard Bus (SE),43199,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K099,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K100,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K101,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K032,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K102,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K103,D2D,Standard Bus (SE),43385,IE,ALLIED TRANSIT CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K035,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K104,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K105,D2D,Standard Bus (SE),10/31/2018,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K106,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K108,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",374 Glenmore Avenue,Brooklyn,NY,11207,1012885,184508
2018-2019,K109,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K111,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K113,D2D,Standard Bus (SE),43199,EM,EMPIRE STATE BUS CORP.,ALLIED TRANSIT CORP.,141 Hinsdale Street,Brooklyn,NY,11207,1011803,184082
2018-2019,K114,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",374 Glenmore Avenue,Brooklyn,NY,11207,1012885,184508
2018-2019,K117,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K118,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K119,D2D,Standard Bus (SE),43416,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K120,D2D,Standard Bus (SE),10/22/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K121,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K122,D2D,Standard Bus (SE),11/19/2018,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K123,D2D,Standard Bus (SE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K124,D2D,Standard Bus (SE),43229,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K125,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K126,D2D,Standard Bus (SE),43199,BO,"BORO TRANSIT, INC.","BORO TRANSIT, INC.",374 Glenmore Avenue,Brooklyn,NY,11207,1012885,184508
2018-2019,K127,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K128,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K129,D2D,Standard Bus (SE),43199,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K130,D2D,Standard Bus (SE),43199,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K1301,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K1302,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K1303,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,C908,D2D,Mini-Wagon,09/28/2018,VN,VAN TRANS LLC (B2192),VAN TRANS LLC (B2192),670 Hillside Road,Pelham Manor,NY,10803,1034573.799,265547.5926
2018-2019,J777,D2D,Mini-Wagon,01/22/2019,AP,HOYT TRANSPORTATION CORP.,HOYT TRANSPORTATION CORP.,1271 RANDALL AVENUE,Bronx,NY,10474,1015486,235142
2018-2019,K1304,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K1305,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K1306,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K1307,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,6093 STRICKLAND AVENUE,BROOKLYN,NY,11234,1008413,162051
2018-2019,K1308,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K131,D2D,Standard Bus (SE),43199,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K1315,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K1318,S2S AM,Standard Bus (GE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
