School_Year,Route_Number,Service_Type,Vehicle_TypeDescription,Route_Start_Date,Vendor_Code,Vendor_Name,Vendor_Affiliation,Garage _Street_Address,Garage_City,Garage_State,Garage_Zip,XCoordinates,YCoordinates
2018-2019,Y729,D2D,Mini-Wagon,43199,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
2018-2019,Y730,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y731,D2D,Type A or B Flex Vehicle,43385,NK,"MONTAUK STUDENT TRANS, INC. (B2321)","MONTAUK STUDENT TRANS, INC. (B2321)",670 Hillside Road,Pelham Manor,NY,10803,1034574,265548
2018-2019,Y732,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y744,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y745,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y749,D2D,Mini-Wagon,43771,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),905 Brush Ave,Bronx,NY,10465,1028569,240221
2018-2019,Y750,D2D,Mini-Wagon,43229,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",960 CLOSE AVENUE,BRONX,NY,10473,1017048,238857
2018-2019,Y751,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y810,D2D,Type A or B Flex Vehicle,02/25/2019,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y811,D2D,Type A or B Flex Vehicle,43323,NK,"MONTAUK STUDENT TRANS, INC. (B2321)","MONTAUK STUDENT TRANS, INC. (B2321)",670 Hillside Road,Pelham Manor,NY,10803,1034574,265548
2018-2019,Q9782,S2S PM,Standard Bus (GE),43199,GB,"GRANDPA`S BUS CO., INC.",BOBBY`S BUS CO. INC.,145-40 155 Street,Jamaica,NY,11434,1044536,181633
2018-2019,Y812,D2D,Type A or B Flex Vehicle,43199,NK,"MONTAUK STUDENT TRANS, INC. (B2321)","MONTAUK STUDENT TRANS, INC. (B2321)",670 Hillside Road,Pelham Manor,NY,10803,1034574,265548
2018-2019,Y813,D2D,Type A or B Flex Vehicle,43292,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y814,D2D,Type A or B Flex Vehicle,43199,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y815,D2D,Type A or B Flex Vehicle,43385,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y816,D2D,Type A or B Flex Vehicle,11/20/2018,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y822,D2D,Type A or B Flex Vehicle,10/22/2018,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y825,D2D,Type A or B Flex Vehicle,43199,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y827,D2D,Type A or B Flex Vehicle,43199,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y828,D2D,Type A or B Flex Vehicle,43323,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y853,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y854,D2D,Mini-Wagon,43229,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y860,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y861,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y862,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",960 CLOSE AVENUE,BRONX,NY,10473,1017048,238857
2018-2019,Y865,D2D,Mini-Wagon,10/22/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y868,D2D,Mini-Wagon,11/28/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y874,D2D,Mini-Wagon,43497,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
2018-2019,Y875,D2D,Type A or B Flex Vehicle,01/22/2019,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y876,D2D,Type A or B Flex Vehicle,03/22/2019,NK,"MONTAUK STUDENT TRANS, INC. (B2321)","MONTAUK STUDENT TRANS, INC. (B2321)",670 Hillside Road,Pelham Manor,NY,10803,1034574,265548
2018-2019,Y878,D2D,Type A or B Flex Vehicle,01/24/2019,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y879,D2D,Mini-Wagon,12/13/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y880,D2D,Mini-Wagon,43169,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y881,D2D,Type A or B Flex Vehicle,09/17/2018,GC,G.V.C. LTD. (B2192),G.V.C. LTD. (B2192),400 Zerega Avenue,Bronx,NY,10473,1027097,236266
2018-2019,Y886,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y887,D2D,Mini-Wagon,43292,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),905 Brush Ave,Bronx,NY,10465,1028569,240221
2018-2019,Y888,D2D,Mini-Wagon,09/19/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",960 CLOSE AVENUE,BRONX,NY,10473,1017048,238857
2018-2019,Y897,D2D,Mini-Wagon,10/25/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",960 CLOSE AVENUE,BRONX,NY,10473,1017048,238857
2018-2019,Y898,D2D,Mini-Wagon,43199,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
2018-2019,Y899,D2D,Mini-Wagon,11/20/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y900,D2D,Mini-Wagon,43414,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y901,D2D,Mini-Wagon,43497,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y902,D2D,Mini-Wagon,43322,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y903,D2D,Mini-Wagon,03/18/2019,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y904,D2D,Mini-Wagon,10/22/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y907,D2D,Mini-Wagon,10/22/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",960 CLOSE AVENUE,BRONX,NY,10473,1017048,238857
2018-2019,Y908,D2D,Mini-Wagon,43199,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
2018-2019,Y909,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y910,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y911,D2D,Mini-Wagon,12/14/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y912,D2D,Mini-Wagon,09/24/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y913,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y914,D2D,Mini-Wagon,03/21/2019,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y915,D2D,Mini-Wagon,09/25/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y916,D2D,Mini-Wagon,43199,PC,PRIDE TRANSPORTATION (SCH AGE),PRIDE TRANSPORTATION (SCH AGE),231 malta street,brooklyn,NY,11207,1014101,177994
2018-2019,Y917,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y918,D2D,Mini-Wagon,43199,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",1465 BRONX RIVER AVENUE,BRONX,NY,10472,1018187,243876
2018-2019,Y919,D2D,Mini-Wagon,11/28/2018,GT,"DON THOMAS BUSES, INC. (B2321)","DON THOMAS BUSES, INC. (B2321)",2859 WEST 37TH STREET,BROOKLYN,NY,11224,983439,148884
